,dip_ct,dip_pkt_size_ct
133.149.172.59,1,40
133.149.209.213,1,40
133.149.190.37,1,40
203.77.77.4,1,40
133.149.63.155,1,40
163.33.222.163,1,40
202.198.4.226,1,40
133.149.143.58,1,40
133.149.113.56,1,40
133.149.53.71,1,40
150.75.49.241,1,52
150.75.56.114,1,40
203.77.92.215,1,40
133.149.69.162,1,40
163.33.229.42,1,44
163.33.215.204,1,40
163.33.205.108,1,40
150.75.134.113,1,40
150.75.87.37,1,40
133.11.117.172,1,40
133.11.116.187,1,40
150.75.67.5,1,40
133.149.72.10,1,60
203.77.80.17,1,40
163.33.228.52,1,40
202.198.45.94,1,40
150.75.254.201,1,40
133.149.42.30,1,44
133.149.177.133,1,40
150.75.84.150,1,44
202.198.6.143,1,52
163.33.1.66,1,40
133.11.104.90,1,40
133.149.112.85,1,40
133.149.112.27,1,40
163.33.139.194,1,40
163.33.21.205,1,40
163.33.156.100,1,40
163.33.143.16,1,44
163.33.136.39,1,40
133.149.204.98,1,40
150.75.177.49,1,48
203.77.3.17,1,40
133.149.144.20,1,40
163.33.244.212,1,40
163.33.252.16,1,40
163.33.161.122,1,44
150.75.50.169,1,40
150.75.230.50,1,40
150.75.183.115,1,40
133.149.220.215,1,44
203.77.51.151,1,40
163.33.233.8,1,40
133.149.253.20,1,40
163.33.70.212,1,48
133.149.141.200,1,40
133.11.120.44,1,40
163.33.196.181,2,80
203.77.122.153,4,173
163.33.76.77,1,40
203.77.97.174,1,40
150.75.157.11,1,40
163.33.66.114,1,40
150.75.153.60,1,40
163.33.212.11,1,40
163.33.166.217,1,40
202.198.0.160,1,40
163.33.234.239,1,40
163.33.251.144,1,48
133.149.221.194,1,52
150.75.128.112,1,40
163.33.113.136,1,44
203.77.77.26,1,40
133.11.73.40,1,40
133.149.201.184,1,44
163.33.139.124,1,40
133.149.85.12,1,40
133.149.14.73,1,40
150.75.133.94,1,40
203.77.64.118,1,60
163.33.195.138,136,199361
203.77.69.172,1,40
133.11.101.165,1,48
163.33.95.148,1,40
163.33.116.105,1,40
163.33.59.159,1,44
133.11.124.166,1,40
203.77.7.51,1,40
133.149.233.74,1,40
202.198.20.230,1,40
163.33.67.169,1,40
163.33.218.158,1,58
203.77.29.73,1,40
163.33.9.76,1,40
203.77.37.91,1,40
150.75.142.175,1,40
133.149.95.167,1,40
203.77.117.67,3,252
202.204.57.198,1,44
133.149.209.139,1,40
150.75.76.33,1,40
163.33.35.98,2,116
163.33.3.191,1,40
133.149.1.227,1,40
203.77.7.105,1,40
203.77.39.251,1,40
202.198.59.146,1,40
163.33.227.36,1,40
203.77.35.207,1,40
163.33.80.109,1,40
133.149.137.84,1,40
133.149.171.194,1,40
163.33.65.246,1,40
163.33.248.241,1,40
163.33.188.142,1,40
202.198.63.169,1,40
163.33.44.12,1,40
150.75.76.192,1,40
150.75.86.153,1,40
150.75.152.175,1,40
163.33.186.34,1,40
150.75.191.220,1,40
133.149.175.152,1,40
163.33.52.198,1,40
150.75.67.209,1,40
203.77.42.105,1,40
150.75.146.85,1,40
203.77.21.168,1,52
133.149.170.85,1,40
163.33.36.240,1,40
163.33.18.100,1,40
202.198.59.132,1,40
133.149.117.138,1,40
203.77.113.191,1,40
163.33.28.68,1,40
163.33.140.11,5,353
133.11.98.96,1,40
163.33.10.148,1,40
133.149.93.186,1,60
203.77.25.248,1,44
150.75.232.144,1,52
163.33.144.228,1,40
163.33.2.163,1,40
133.11.120.229,1,40
150.75.245.144,1,40
150.75.213.96,1,40
150.75.104.216,2,80
203.77.81.215,1,40
163.33.114.231,1,60
150.75.118.191,1,40
202.198.59.185,1,40
133.149.63.158,1,40
163.33.188.92,1,40
202.25.109.119,1,40
163.33.249.87,1,40
150.75.154.238,1,40
150.75.217.106,1,40
202.198.50.227,1,44
203.77.102.2,1,40
203.77.121.167,1,40
133.149.98.228,1,40
163.33.4.11,1,40
133.149.195.66,1,127
150.75.17.69,1,44
203.77.118.179,5,375
150.75.25.55,1,40
203.77.9.95,1,40
163.33.162.180,1,40
203.77.1.247,1,44
203.77.102.192,1,40
133.149.204.85,1,40
202.198.59.149,1,40
150.75.221.25,1,121
133.149.201.171,1,40
150.75.230.62,1,40
150.75.221.188,1,40
133.149.106.15,1,40
150.75.243.201,1,44
203.77.127.32,4,370
150.75.234.84,1,44
150.75.96.62,1,44
163.33.234.231,2,96
150.75.125.48,1,40
150.75.192.88,1,44
163.33.140.222,4,296
150.75.13.53,1,40
163.33.142.127,1,40
163.33.22.142,1,40
203.77.127.11,3,120
163.33.160.225,1,40
150.75.184.225,1,40
163.33.19.183,5,515
163.33.37.49,1,40
163.33.125.127,1,40
163.33.0.234,1,52
163.33.91.169,1,40
133.149.74.35,1,40
150.75.92.244,2,1152
163.33.108.49,1,40
163.33.141.126,2,80
203.77.1.104,1,40
203.77.101.218,1,40
202.25.109.98,1,40
150.75.166.87,1,40
133.149.194.176,1,40
150.75.55.106,1,44
203.77.117.221,1,40
150.75.176.17,1,44
133.149.28.170,1,44
133.11.93.156,1,60
150.75.66.236,1,40
203.77.120.93,3,377
133.149.141.99,1,52
133.149.248.94,1,40
150.75.6.218,1,40
202.198.32.91,1,40
163.33.13.129,1,44
163.33.78.194,1,40
163.33.21.76,1,40
163.33.94.66,1,68
163.33.105.151,1,40
202.204.57.52,1,930
203.77.18.137,1,40
202.15.129.16,1,40
150.75.147.81,1,40
133.149.168.194,1,48
133.149.80.160,1,40
203.77.125.65,1,136
133.11.70.191,2,112
150.75.32.164,1,40
133.149.129.37,1,40
133.11.72.248,1,40
133.149.108.105,1,44
133.149.36.43,1,48
150.75.12.101,1,40
133.149.124.203,1,40
163.33.141.185,1,52
150.75.141.95,1,40
202.198.17.12,1,40
133.149.226.223,1,40
133.149.82.28,1,40
150.75.231.89,1,40
202.198.36.130,1,40
133.11.91.157,1,40
133.11.69.12,1,40
133.149.182.150,1,40
150.75.244.214,1,40
133.149.25.1,1,40
203.77.62.24,1,40
163.33.15.169,1,40
133.149.89.80,1,40
203.77.38.246,1,40
203.77.119.180,5,425
150.75.113.168,1,44
133.149.156.37,1,40
163.33.119.166,1,40
150.75.20.114,1,40
163.33.37.96,1,121
133.149.193.54,1,40
133.149.40.164,1,40
203.77.55.136,1,40
163.33.113.252,1,40
202.198.34.233,1,44
163.33.15.175,1,40
163.33.129.44,1,40
203.77.112.8,1,44
133.149.151.193,1,40
202.198.43.171,1,40
203.77.29.120,1,40
163.33.17.44,2,80
133.149.174.31,1,52
150.75.130.105,1,40
150.75.252.125,1,44
203.77.106.28,1,40
150.75.255.33,1,40
150.75.193.150,1,40
163.33.80.19,31,37432
133.11.70.95,1,52
133.149.196.208,1,52
133.149.144.245,1,40
133.149.125.65,1,40
133.149.136.89,1,40
163.33.126.161,1,40
133.149.115.149,1,40
133.149.126.51,1,40
202.198.5.216,1,40
150.75.88.237,1,40
133.149.145.43,1,40
150.75.60.32,1,40
150.75.70.93,1,40
163.33.49.15,1,44
150.75.118.28,1,40
150.75.86.8,1,44
133.11.82.139,1,40
150.75.45.199,1,40
150.75.165.27,1,40
203.77.125.177,1,44
163.33.87.34,1,40
163.33.11.45,1,40
163.33.61.163,1,74
202.198.46.226,1,40
163.33.91.203,1,40
203.77.66.242,1,40
163.33.51.235,1,40
202.198.3.131,1,40
150.75.115.28,1,40
163.33.8.228,1,40
133.149.142.225,1,40
163.33.13.144,1,40
163.33.67.33,1,40
133.149.115.183,1,40
133.149.249.141,1,44
133.149.229.112,1,40
163.33.194.13,1,40
133.11.117.88,1,40
202.25.109.204,1,40
133.11.94.161,1,48
163.33.111.230,1,44
163.33.6.44,1,40
150.75.127.64,1,40
163.33.61.65,1,74
133.149.248.184,1,40
150.75.83.223,1,40
163.33.45.96,1,40
133.149.177.95,1,60
163.33.175.71,1,76
133.149.69.75,1,40
202.198.10.134,1,40
163.33.98.8,1,48
133.149.97.204,1,40
150.75.196.23,1,40
133.149.157.192,1,40
133.11.115.28,1,40
202.198.10.88,1,44
202.25.107.226,1,40
163.33.192.99,1,40
203.77.94.18,1,40
150.75.215.2,1,40
163.33.164.171,1,40
202.198.26.175,1,40
163.33.194.117,1,40
150.75.49.49,1,40
203.77.122.213,13,1731
133.149.156.10,1,40
150.75.207.60,1,40
150.75.110.50,1,40
203.77.119.118,1,40
163.33.115.121,1,40
133.149.197.32,1,44
163.33.90.58,1,40
133.149.26.200,1,40
150.75.11.111,1,40
163.33.181.180,1,40
150.75.216.92,1,40
203.77.42.126,1,40
133.149.43.23,1,40
133.149.2.13,1,48
150.75.59.111,1,40
150.75.30.22,1,40
133.149.137.70,1,44
202.198.32.231,1,40
150.75.193.202,1,40
133.11.120.129,1,40
133.149.193.207,1,40
133.149.129.64,1,40
163.33.191.165,1,40
163.33.138.147,1,40
133.11.105.43,1,40
163.33.201.201,1,40
133.11.80.82,1,40
202.25.109.197,1,40
133.11.103.22,1,40
150.75.170.231,1,40
133.149.241.253,1,40
150.75.114.191,1,40
133.149.187.67,1,394
150.75.241.46,1,40
202.198.4.138,1,40
150.75.209.49,1,40
202.198.2.196,1,40
150.75.245.117,1,40
163.33.86.226,1,40
163.33.174.16,3,246
133.11.108.28,1,44
150.75.205.59,1,40
150.75.128.146,1,40
150.75.234.47,1,40
133.149.62.29,1,40
163.33.232.138,2,681
150.75.190.67,1,40
133.149.97.122,1,40
202.198.34.247,1,40
203.77.110.177,1,52
133.149.94.163,1,40
163.33.111.172,1,44
163.33.111.130,1,44
203.77.53.188,1,52
133.11.111.241,1,40
202.198.46.57,1,40
202.198.21.154,1,40
203.77.23.106,1,60
203.77.98.98,1,40
133.11.87.246,1,40
150.75.101.111,1,44
150.75.121.223,1,40
150.75.60.123,1,40
203.77.122.173,1,40
150.75.15.246,1,40
150.75.241.31,1,40
203.77.16.101,1,40
203.77.58.136,1,40
150.75.69.3,1,40
133.11.84.214,1,48
163.33.132.161,1,40
150.75.219.180,1,40
163.33.226.178,1,40
133.11.72.138,1,40
133.11.101.65,1,40
150.75.81.134,1,40
133.149.231.93,1,52
163.33.96.227,1,40
163.33.140.45,1,40
150.75.34.45,1,40
163.33.43.123,1,40
150.75.207.232,1,576
133.149.170.151,1,40
133.11.82.161,1,48
150.75.48.254,1,40
163.33.31.147,1,40
150.75.85.245,1,48
133.149.97.207,1,40
133.149.241.190,1,40
150.75.9.131,1,44
150.75.125.237,1,40
133.149.8.171,1,40
150.75.214.17,1,44
133.149.120.23,1,40
163.33.70.116,1,56
150.75.49.85,1,40
202.198.37.46,1,40
163.33.198.137,1,40
203.77.11.30,1,40
202.198.37.171,1,40
163.33.219.159,1,44
163.33.226.193,1,40
133.149.97.139,1,40
163.33.32.139,1,40
133.149.179.141,1,40
203.77.11.56,1,40
133.11.70.253,1,52
133.149.70.143,1,40
133.149.205.123,1,44
133.149.21.202,1,48
163.33.232.79,3,1314
133.11.87.81,1,40
163.33.161.222,1,40
150.75.98.17,1,40
150.75.58.221,1,40
163.33.226.202,2,84
202.198.61.225,1,40
163.33.193.147,1,40
150.75.39.212,1,48
133.149.170.48,1,40
203.77.43.3,1,40
150.75.133.126,1,60
150.75.30.87,1,40
133.149.79.234,1,44
133.149.73.121,1,40
163.33.9.127,1,40
133.11.65.40,1,40
163.33.232.37,1,44
150.75.84.97,1,44
150.75.2.190,1,44
150.75.202.252,1,40
150.75.126.249,1,44
150.75.178.40,1,40
133.149.152.186,1,40
133.11.78.248,1,40
133.149.0.38,1,44
163.33.199.159,1,101
163.33.53.13,1,44
150.75.151.0,1,44
202.198.15.163,2,256
163.33.226.154,1,40
133.149.179.247,1,40
163.33.101.175,1,40
133.149.249.184,1,40
150.75.61.246,1,58
133.11.82.82,1,40
202.198.6.209,1,40
203.77.31.86,1,40
133.149.108.75,1,40
133.11.116.158,1,40
202.198.63.152,1,40
163.33.20.68,1,40
163.33.95.171,1,40
163.33.169.78,1,40
150.75.22.252,1,40
203.77.99.231,1,40
163.33.238.163,1,40
133.149.243.44,1,40
133.149.226.172,1,40
150.75.144.55,1,40
163.33.201.247,2,467
150.75.238.155,1,44
202.204.63.140,1,40
163.33.101.56,1,40
150.75.9.7,1,48
203.77.59.36,1,40
203.77.125.152,1,60
150.75.173.195,1,40
203.77.123.138,1,44
150.75.143.91,1,40
163.33.165.124,1,40
203.77.94.27,1,40
150.75.88.81,1,40
133.149.33.35,1,40
163.33.86.51,1,40
133.149.62.5,1,40
163.33.64.134,1,40
203.77.104.195,1,40
203.77.112.1,1,44
133.149.176.99,1,40
133.149.221.147,1,60
133.149.130.5,1,40
163.33.217.252,1,40
133.149.49.131,1,40
150.75.203.243,1,40
163.33.103.78,1,40
202.198.60.56,1,44
163.33.84.205,3,538
203.77.104.43,1,40
133.149.227.102,1,40
133.149.134.34,1,40
133.149.34.54,1,40
202.198.41.255,1,40
163.33.130.117,1,40
163.33.203.206,1,40
163.33.222.122,1,40
133.11.81.123,1,40
133.149.42.239,1,44
150.75.216.255,1,40
133.149.236.220,1,40
133.149.147.167,1,40
202.204.62.10,1,40
133.11.81.59,1,40
150.75.62.49,1,40
133.11.71.178,1,40
150.75.29.36,1,40
150.75.49.181,1,44
203.77.96.39,1,40
133.149.13.58,1,40
133.11.92.65,1,40
133.149.229.159,1,40
150.75.35.134,1,40
133.149.1.52,1,40
163.33.84.113,1,48
163.33.121.178,1,40
133.149.125.47,1,40
133.149.170.127,1,40
150.75.15.27,1,40
202.198.13.216,1,40
163.33.118.79,1,40
150.75.101.164,1,40
202.198.41.164,1,40
133.11.127.204,1,40
150.75.11.165,1,40
133.149.7.139,1,40
203.77.67.83,1,40
202.198.3.35,1,40
133.149.194.179,1,40
203.77.70.16,1,60
163.33.42.12,1,40
133.149.118.210,1,40
203.77.122.134,1,40
133.11.74.138,1,60
133.149.250.156,1,40
150.75.109.74,1,40
203.77.37.32,1,40
133.11.71.115,1,40
163.33.235.6,1,52
202.198.15.223,3,316
150.75.152.252,1,40
202.198.53.140,1,40
203.77.80.158,1,40
163.33.48.243,1,44
133.149.33.183,1,40
163.33.95.116,2,96
150.75.152.168,1,40
163.33.102.39,1,40
133.149.7.28,1,40
163.33.44.59,1,40
133.149.220.64,1,40
133.149.152.235,1,40
150.75.16.79,1,40
202.198.20.176,1,40
133.149.149.205,1,44
150.75.159.117,1,40
163.33.161.156,1,40
202.198.5.147,1,40
133.11.71.246,2,80
133.149.37.165,1,40
163.33.122.43,1,40
150.75.51.32,1,40
163.33.34.35,1,58
133.11.70.204,3,166
150.75.250.70,1,576
150.75.200.217,1,40
202.198.51.31,1,40
202.198.5.25,1,40
203.77.29.24,1,40
202.198.63.245,1,48
150.75.66.243,1,40
203.77.105.148,1,40
202.198.45.37,1,40
163.33.141.200,247,347786
133.149.108.227,1,40
163.33.27.150,1,40
150.75.164.229,1,40
163.33.53.155,1,40
163.33.153.189,1,40
150.75.20.240,2,80
202.204.63.73,1,40
163.33.153.151,1,40
203.77.100.148,1,40
133.149.54.172,1,40
163.33.40.2,1,44
133.11.91.38,1,40
203.77.86.154,1,28
150.75.75.22,1,40
163.33.149.212,1,40
163.33.174.55,1,40
133.11.105.14,1,40
203.77.104.167,1,40
133.149.94.125,1,40
150.75.138.132,1,52
133.149.19.69,1,40
163.33.221.9,1,40
163.33.139.243,1,44
203.77.56.202,1,40
150.75.232.226,1,40
150.75.75.132,1,40
150.75.254.141,1,40
133.149.190.21,1,44
133.149.143.177,1,44
163.33.78.122,1,40
150.75.146.253,1,40
150.75.56.112,1,52
150.75.27.230,1,52
150.75.206.61,1,40
133.149.118.13,1,44
202.198.5.204,1,44
163.33.73.197,1,40
163.33.192.110,1,40
133.149.234.101,1,40
163.33.69.78,1,40
133.149.242.133,1,40
163.33.196.171,1,40
133.149.51.114,1,44
133.11.104.6,1,40
150.75.28.177,1,44
163.33.94.160,6,3027
203.77.106.13,1,40
150.75.36.165,1,40
133.149.58.214,1,40
163.33.241.12,2,84
163.33.192.37,1,40
150.75.69.40,1,40
163.33.16.152,1,40
150.75.198.174,1,40
133.149.3.160,1,40
163.33.231.219,1,40
202.204.60.12,7,1169
150.75.162.239,1,40
203.77.49.240,1,40
150.75.196.70,1,40
163.33.211.200,1,30
163.33.102.175,1,40
163.33.91.176,1,40
202.198.60.26,1,40
150.75.65.48,1,40
163.33.173.65,1,40
133.149.180.162,1,40
203.77.65.174,1,40
203.77.62.214,1,40
150.75.228.216,1,40
203.77.119.46,1,40
133.149.44.127,1,40
133.149.43.75,1,44
203.77.124.210,5,480
203.77.20.46,1,40
203.77.125.219,2,80
150.75.209.20,1,40
150.75.122.14,1,40
163.33.95.83,11,1712
163.33.199.195,1,40
203.77.107.15,1,40
203.77.13.67,1,40
163.33.89.3,1,121
133.149.93.89,1,40
150.75.183.218,1,40
150.75.213.213,1,40
203.77.12.111,1,40
150.75.233.134,1,40
150.75.238.68,1,40
150.75.138.3,1,40
150.75.30.77,2,80
163.33.223.110,1,40
163.33.4.46,1,40
163.33.57.24,7,2225
133.149.0.173,1,40
203.77.113.193,4,299
150.75.149.213,1,40
133.149.48.30,1,40
202.204.59.241,1,40
150.75.169.119,1,40
202.198.5.12,1,40
133.149.9.27,1,40
163.33.238.212,4,216
150.75.238.163,1,40
163.33.220.52,1,44
133.149.106.89,1,44
150.75.198.27,1,40
150.75.104.158,1,40
163.33.28.136,1,40
150.75.76.201,1,40
150.75.196.203,1,40
203.77.123.220,1,40
163.33.93.184,1,40
203.77.2.58,1,30
133.149.249.219,1,40
203.77.51.225,1,40
150.75.243.106,1,40
133.149.64.27,1,40
133.149.43.145,1,44
163.33.189.160,1,40
150.75.154.106,1,44
150.75.42.224,1,40
163.33.64.3,1,40
163.33.180.251,1,40
202.204.59.13,1,40
163.33.181.25,1,40
163.33.246.156,2,111
133.149.35.130,1,40
150.75.188.212,1,40
163.33.84.232,13,2124
163.33.236.88,1,44
203.77.109.135,1,60
150.75.125.52,1,40
202.198.52.214,1,40
150.75.149.3,1,40
133.149.175.165,1,40
163.33.48.159,1,40
203.77.12.221,1,40
150.75.121.41,1,40
133.149.143.49,1,40
203.77.49.229,1,40
133.149.57.155,1,40
133.149.199.89,1,60
203.77.20.254,1,40
163.33.252.97,1,47
150.75.150.254,1,40
150.75.23.56,1,44
202.204.58.105,12,1888
163.33.27.48,1,40
163.33.86.166,1,40
163.33.234.44,15,6828
163.33.58.83,1,40
163.33.203.148,1,40
150.75.28.70,1,40
150.75.203.68,1,44
163.33.242.163,1,40
202.198.46.169,1,44
202.198.23.235,2,80
163.33.234.94,11,5351
133.149.149.232,1,40
202.198.62.30,1,40
202.198.46.128,2,104
133.149.160.26,1,40
133.11.73.36,1,40
150.75.117.33,1,40
133.149.179.251,1,40
133.149.49.191,1,40
203.77.79.178,1,44
133.149.181.26,1,44
133.11.122.105,1,40
133.11.93.22,1,40
203.77.119.218,1,40
150.75.121.13,1,40
163.33.183.138,1,40
150.75.67.242,1,40
163.33.203.124,1,64
150.75.98.105,1,40
150.75.64.184,1,40
133.11.107.226,1,40
150.75.144.233,1,40
203.77.91.189,1,44
163.33.25.225,1,40
203.77.27.57,1,40
133.149.162.188,1,40
202.198.15.48,1,40
163.33.59.100,1,40
163.33.110.63,2,93
133.149.22.98,1,44
133.11.125.223,1,40
202.204.59.143,1,40
150.75.160.86,1,40
133.149.108.150,1,40
150.75.66.120,1,40
150.75.32.108,1,40
202.198.40.40,1,40
133.149.55.202,1,40
163.33.78.89,1,40
133.149.248.197,1,52
133.149.40.84,1,40
203.77.30.251,1,40
133.149.255.86,2,256
163.33.172.157,1,40
202.198.20.83,1,40
133.149.19.223,1,40
133.149.67.90,1,40
202.198.2.214,1,40
163.33.86.202,1,40
163.33.189.163,1,40
163.33.141.92,8,1240
150.75.166.99,1,40
203.77.63.63,1,40
133.149.87.139,1,40
163.33.185.237,1,60
163.33.78.36,1,40
133.11.81.75,1,40
133.149.62.232,1,40
203.77.49.194,1,40
133.149.21.142,1,40
133.11.71.7,1,40
133.149.216.21,1,40
203.77.110.105,1,40
133.149.122.186,1,40
163.33.86.116,1,44
203.77.9.108,1,40
202.198.2.194,1,40
163.33.255.192,1,40
203.77.117.76,1,40
163.33.211.157,1,40
150.75.104.215,1,40
203.77.112.174,2,80
163.33.89.108,1,40
203.77.66.133,1,40
163.33.248.44,1,40
133.149.25.67,1,40
133.149.86.68,1,30
133.149.129.238,1,40
163.33.153.26,1,52
203.77.113.114,1,44
163.33.201.200,1,40
203.77.24.70,1,40
150.75.109.11,1,60
150.75.78.229,1,40
163.33.5.10,1,40
133.149.6.110,1,40
163.33.168.111,1,40
163.33.251.233,1,40
133.149.125.32,1,40
133.149.56.215,1,40
150.75.125.24,1,40
202.198.18.6,1,40
163.33.251.130,1,113
133.149.47.22,1,40
163.33.138.68,1,40
163.33.106.120,1,40
203.77.99.5,1,52
203.77.90.21,1,40
163.33.182.11,1,40
163.33.143.64,1,40
150.75.52.126,1,40
150.75.96.170,1,40
202.204.58.211,1,40
150.75.47.97,1,40
133.149.38.13,1,40
203.77.104.109,1,40
133.149.255.85,6,1872
202.198.42.162,1,40
150.75.236.4,1,40
150.75.219.233,1,40
203.77.80.81,1,40
163.33.199.64,1,40
163.33.138.173,12,1082
163.33.185.24,1,40
133.149.61.118,1,40
133.149.35.172,1,40
163.33.79.103,1,40
150.75.190.93,1,40
202.198.14.206,1,40
163.33.226.124,1,40
150.75.104.81,1,40
133.11.70.215,6,329
133.11.107.236,1,40
163.33.42.75,1,40
163.33.49.231,1,40
202.198.40.67,1,40
133.149.149.241,1,40
202.198.58.219,1,44
133.149.217.114,1,44
150.75.167.105,1,40
150.75.169.53,1,40
150.75.117.228,1,40
203.77.65.16,1,40
150.75.142.157,1,40
163.33.147.156,1,40
150.75.165.135,1,40
133.149.78.23,1,40
163.33.62.104,1,40
150.75.167.101,1,40
163.33.128.76,1,40
150.75.164.63,1,40
163.33.65.164,1,44
133.11.127.143,1,40
133.149.136.188,1,40
150.75.212.116,1,40
133.149.138.235,1,40
133.149.87.103,1,40
163.33.145.162,1,40
163.33.57.94,1,52
202.198.38.25,1,40
163.33.54.40,1,40
133.149.122.112,1,40
133.149.78.116,1,40
163.33.77.105,1,60
150.75.206.13,1,40
150.75.105.157,1,40
150.75.239.157,1,40
163.33.200.124,2,88
203.77.70.115,1,48
150.75.83.14,1,40
203.77.48.73,1,40
133.11.85.85,1,40
150.75.234.102,1,40
133.149.119.205,1,40
150.75.125.206,1,40
150.75.4.248,1,40
150.75.60.179,1,44
203.77.121.212,1,731
133.149.207.25,1,60
133.149.68.231,1,40
163.33.141.222,2,211
150.75.165.192,1,40
133.149.32.200,1,44
133.11.77.130,1,40
163.33.16.207,1,40
150.75.57.226,1,40
133.149.76.179,1,40
150.75.207.34,1,40
150.75.12.26,1,40
202.204.62.95,1,40
202.198.19.73,1,40
133.11.100.40,1,40
133.149.17.58,1,40
133.149.17.169,1,44
150.75.255.104,2,80
133.149.250.240,1,40
203.77.20.9,1,40
202.198.37.77,2,80
150.75.3.220,1,40
150.75.158.40,1,40
150.75.12.178,1,40
163.33.48.12,1,43
163.33.73.215,1,48
203.77.26.230,1,40
163.33.81.169,1,40
163.33.80.131,1,40
133.149.166.191,1,40
150.75.106.237,1,44
203.77.101.104,1,40
163.33.188.39,1,40
150.75.191.218,1,40
163.33.105.188,1,40
150.75.79.159,1,40
133.149.81.79,1,44
133.149.28.39,1,40
133.149.106.43,1,40
163.33.71.65,1,40
150.75.242.99,1,40
133.149.80.64,1,40
133.11.90.186,1,40
163.33.175.191,1,40
163.33.5.61,1,40
203.77.127.84,3,252
150.75.105.198,1,40
163.33.109.40,2,120
150.75.252.93,1,40
203.77.121.217,4,215
163.33.208.242,1,40
133.11.103.238,1,48
150.75.124.130,1,40
150.75.250.37,1,40
150.75.25.213,1,40
133.149.245.186,1,40
150.75.78.106,1,40
150.75.212.213,1,40
163.33.21.23,1,40
150.75.147.122,1,40
203.77.29.98,1,40
133.149.136.6,1,60
150.75.202.80,1,40
150.75.63.183,1,40
150.75.215.215,1,40
133.11.84.219,1,40
150.75.57.223,1,40
150.75.54.17,1,40
163.33.191.251,7,749
133.11.66.243,1,40
133.149.28.166,1,40
150.75.255.247,1,40
203.77.23.116,1,48
133.149.231.153,1,40
163.33.188.143,1,40
203.77.28.21,1,40
163.33.150.240,1,40
203.77.111.93,1,40
163.33.254.16,1,44
203.77.75.92,1,40
133.149.245.134,1,40
203.77.87.117,1,40
203.77.10.84,1,44
133.149.166.164,1,40
133.149.229.195,1,60
133.149.255.235,2,80
133.11.86.75,1,40
133.11.86.207,1,40
203.77.74.117,1,40
133.149.114.101,1,40
163.33.230.184,1,40
203.77.21.40,1,40
163.33.141.10,1,40
163.33.111.29,1,40
150.75.40.51,2,80
133.149.245.168,1,40
150.75.250.59,1,40
163.33.177.97,1,58
150.75.33.78,1,40
133.149.65.56,1,40
133.149.251.141,1,40
163.33.40.152,1,40
203.77.25.82,1,40
163.33.128.101,1,44
150.75.131.126,1,40
133.11.99.146,1,40
163.33.170.200,1,40
203.77.123.73,1,40
163.33.3.137,1,40
150.75.162.22,1,44
133.149.194.51,1,40
150.75.253.203,1,40
133.149.193.117,5,200
203.77.88.3,1,44
163.33.19.236,1,40
133.149.179.206,1,40
133.149.80.71,1,44
163.33.20.175,1,40
133.149.215.131,1,40
163.33.204.215,1,40
150.75.40.194,1,40
150.75.245.88,1,40
202.198.35.7,1,44
150.75.32.150,1,40
133.149.114.220,1,40
163.33.217.105,1,40
163.33.164.120,1,44
133.149.58.32,1,40
203.77.117.14,1,40
133.149.64.238,1,40
133.149.17.106,1,40
133.149.226.212,1,40
150.75.100.253,1,44
203.77.111.105,1,40
133.149.172.156,1,40
203.77.38.127,1,40
133.149.113.149,1,40
133.149.92.183,1,40
133.149.84.122,1,40
202.198.7.225,1,40
133.149.179.153,1,40
150.75.110.131,1,40
163.33.201.220,1,40
133.11.118.175,1,40
133.149.42.84,1,40
133.149.166.115,1,40
133.11.79.198,1,40
203.77.125.35,7,897
163.33.158.203,1,40
133.11.84.84,1,48
133.11.126.221,1,44
163.33.212.67,1,40
163.33.197.191,1,44
203.77.109.58,2,92
133.11.75.73,1,48
203.77.39.170,1,40
202.198.35.94,1,40
163.33.176.89,1,40
150.75.99.231,1,40
163.33.196.127,1,44
163.33.85.106,1,40
163.33.80.80,1,40
163.33.109.31,1,44
133.149.227.124,1,40
203.77.52.198,1,84
163.33.91.231,1,40
150.75.176.150,1,40
163.33.109.131,1,40
150.75.105.23,1,92
150.75.15.133,1,40
150.75.218.79,1,40
133.11.105.139,1,44
133.149.94.55,1,576
163.33.134.242,1,40
203.77.119.41,1,40
133.149.81.142,1,40
150.75.173.23,1,40
133.11.91.89,1,40
163.33.59.56,1,44
163.33.67.48,1,44
133.149.44.191,1,44
133.149.136.112,1,40
202.198.25.132,1,40
163.33.17.16,1,40
163.33.249.218,5,4855
163.33.12.182,41,3330
163.33.163.244,1,40
163.33.144.249,1,40
133.149.134.46,1,76
150.75.164.91,1,60
203.77.11.231,1,44
133.149.55.113,1,40
150.75.11.204,1,40
133.149.152.22,1,40
163.33.14.173,1,40
133.149.157.160,1,40
150.75.172.254,1,40
163.33.243.161,1,40
133.149.251.0,1,152
133.149.108.198,1,40
203.77.6.199,1,40
133.149.158.174,1,44
150.75.26.50,6,2219
150.75.222.4,1,40
202.198.34.145,1,52
150.75.97.63,1,40
150.75.26.55,5,2175
203.77.72.120,2,80
150.75.253.145,1,44
133.149.238.14,1,40
202.198.11.125,1,40
150.75.32.193,1,40
163.33.250.224,1,60
133.149.214.201,1,40
150.75.116.121,1,40
163.33.134.80,1,40
150.75.21.200,1,44
133.11.78.57,1,40
133.149.161.27,2,120
203.77.6.19,1,40
150.75.26.44,5,2170
150.75.99.201,1,44
